Date,MSPUS,CPI,Effective_Federal_Funds_Rate,Real_GDP_(Percent_Change),Unemployment_Rate,Inflation_Rate,Annual Earnings
1999Q4,165300,100.0,5.3066666666666675,7.1,4.066666666666666,2.033333333333333,29536
2000Q1,165300,101.30000000000001,5.676666666666667,1.2,4.033333333333333,2.1999999999999997,29796
2000Q2,163200,102.16666666666667,6.273333333333333,7.8,3.9333333333333336,2.4,29588
2000Q3,168800,103.56666666666666,6.52,0.5,4.0,2.5666666666666664,29848
2000Q4,172900,103.63333333333333,6.473333333333334,2.3,3.9,2.5666666666666664,30420
2001Q1,169800,105.46666666666665,5.593333333333334,-1.1,4.233333333333333,2.6666666666666665,30628
2001Q2,179000,106.36666666666667,4.326666666666667,2.1,4.3999999999999995,2.6,30784
2001Q3,172500,107.39999999999999,3.4966666666666666,-1.3,4.833333333333333,2.6666666666666665,30992
2001Q4,171100,106.83333333333333,2.1333333333333333,1.1,5.5,2.7000000000000006,31512
2002Q1,188700,107.7,1.7333333333333332,3.7,5.7,2.533333333333333,31772
2002Q2,187200,108.60000000000001,1.75,2.2,5.833333333333333,2.433333333333333,31460
2002Q3,178100,109.43333333333332,1.74,2.0,5.733333333333333,2.2666666666666666,31356
2002Q4,190100,109.2,1.4433333333333334,0.3,5.866666666666667,2.033333333333333,31876
2003Q1,186000,110.43333333333334,1.25,2.1,5.866666666666667,1.7666666666666666,32240
2003Q2,191800,111.36666666666667,1.2466666666666668,3.8,6.133333333333333,1.5333333333333332,32032
2003Q3,191900,112.2,1.0166666666666666,6.9,6.133333333333333,1.3333333333333333,32136
2003Q4,198800,111.73333333333333,0.9966666666666666,4.8,5.833333333333333,1.1666666666666667,32500
2004Q1,212700,112.90000000000002,1.0033333333333332,2.3,5.7,1.3,32968
2004Q2,217600,114.03333333333335,1.01,3.0,5.599999999999999,1.8,33228
2004Q3,213500,115.13333333333333,1.4333333333333333,3.7,5.433333333333334,1.8333333333333333,32864
2004Q4,228800,115.06666666666666,1.95,3.5,5.433333333333334,2.1333333333333333,33644
2005Q1,232500,116.03333333333335,2.4699999999999998,4.3,5.3,2.333333333333333,33956
2005Q2,233700,117.13333333333333,2.9433333333333334,2.1,5.1000000000000005,2.1333333333333333,33436
2005Q3,236400,118.09999999999998,3.4599999999999995,3.4,4.966666666666667,2.066666666666667,33748
2005Q4,243600,118.56666666666666,3.98,2.3,4.966666666666667,2.1333333333333333,34268
2006Q1,247700,119.8,4.456666666666667,4.9,4.733333333333333,2.1,34736
2006Q2,246300,120.73333333333333,4.906666666666667,1.2,4.633333333333334,2.433333333333333,34268
2006Q3,235600,122.16666666666667,5.246666666666667,0.4,4.633333333333334,2.8000000000000003,35100
2006Q4,245400,121.89999999999999,5.246666666666667,3.2,4.433333333333334,2.6333333333333333,35464
2007Q1,257400,123.30766666666666,5.256666666666667,0.2,4.5,2.6333333333333333,36036
2007Q2,242200,124.45533333333334,5.25,3.1,4.5,2.2333333333333334,35880
2007Q3,241800,125.35666666666667,5.073333333333333,2.7,4.666666666666667,2.1333333333333333,36140
2007Q4,238400,125.21166666666666,4.496666666666667,1.4,4.8,2.3000000000000003,36400
2008Q1,233900,126.56,3.1766666666666663,-2.7,5.0,2.4,37388
2008Q2,235300,128.359,2.0866666666666664,2.0,5.333333333333333,2.3333333333333335,37388
2008Q3,226500,129.9,1.9400000000000002,-1.9,6.0,2.5,37440
2008Q4,222500,128.78366666666668,0.5066666666666666,-8.2,6.866666666666667,2.0,37856
2009Q1,208400,128.901,0.18333333333333335,-5.4,8.266666666666667,1.7666666666666666,38376
2009Q2,220900,128.7776666666667,0.17999999999999997,-0.5,9.299999999999999,1.8,38168
2009Q3,214300,128.928,0.15666666666666665,1.3,9.633333333333335,1.4666666666666668,38376
2009Q4,219000,128.043,0.12,3.9,9.933333333333332,1.7333333333333334,38896
2010Q1,222900,128.10466666666667,0.13333333333333333,1.7,9.833333333333334,1.3333333333333333,39208
2010Q2,219500,128.1766666666667,0.19333333333333336,3.9,9.633333333333333,0.9,38480
2010Q3,224100,128.59433333333334,0.18666666666666668,2.7,9.466666666666667,0.8666666666666667,38480
2010Q4,224300,128.09533333333334,0.18666666666666668,2.5,9.500000000000002,0.7333333333333334,39104
2011Q1,226900,128.83666666666667,0.15666666666666668,-1.5,9.033333333333333,1.0999999999999999,39260
2011Q2,228100,129.62666666666667,0.09333333333333334,2.9,9.066666666666668,1.4666666666666668,39156
2011Q3,223500,130.7106666666667,0.08333333333333333,0.8,9.0,1.9333333333333333,39156
2011Q4,221100,130.54966666666667,0.07333333333333335,4.6,8.633333333333333,2.166666666666667,39728
2012Q1,238400,131.06833333333336,0.10333333333333333,2.7,8.266666666666667,2.2666666666666666,39988
2012Q2,238700,131.72933333333333,0.15333333333333335,1.9,8.2,2.2666666666666666,40092
2012Q3,248800,132.42933333333335,0.14333333333333334,0.5,8.033333333333333,2.0,39416
2012Q4,251700,132.51366666666667,0.16,0.1,7.8,1.9333333333333333,40300
2013Q1,258400,133.313,0.14333333333333334,2.8,7.733333333333333,1.9333333333333333,40196
2013Q2,268100,134.29133333333334,0.11666666666666665,0.8,7.533333333333334,1.6666666666666667,40352
2013Q3,264800,135.19366666666667,0.08333333333333333,3.1,7.266666666666667,1.7333333333333334,40092
2013Q4,273600,135.17533333333333,0.08666666666666667,4.0,6.933333333333334,1.7,40872
2014Q1,275200,136.707,0.07333333333333335,-1.2,6.666666666666667,1.6333333333333335,41392
2014Q2,288000,137.75766666666667,0.09333333333333334,4.0,6.2,1.8999999999999997,40560
2014Q3,281000,138.81033333333332,0.09000000000000001,5.0,6.1000000000000005,1.7666666666666666,41080
2014Q4,298900,138.71266666666665,0.09999999999999999,2.3,5.7,1.7,41548
2015Q1,289200,139.403,0.11,2.0,5.533333333333334,1.7,42016
2015Q2,289100,140.18366666666665,0.12333333333333334,2.6,5.3999999999999995,1.7666666666666666,41652
2015Q3,295800,141.22566666666668,0.1366666666666667,2.0,5.1000000000000005,1.8333333333333333,41756
2015Q4,302500,141.165,0.16,0.9,5.0,2.0,42900
2016Q1,299800,141.939,0.36000000000000004,0.8,4.933333333333334,2.2333333333333334,43160
2016Q2,306000,143.07066666666665,0.37333333333333335,1.4,4.866666666666666,2.166666666666667,42848
2016Q3,303800,144.37666666666667,0.39666666666666667,3.5,4.9,2.2333333333333334,43004
2016Q4,310900,144.83833333333334,0.45,1.9,4.699999999999999,2.1333333333333333,44148
2017Q1,313100,146.10133333333332,0.655,0.9882352941176471,4.75,2.25,44980
